Date,True_Net_PnL_After_Fees,net pnl
2025-04-03 00:00:00,-6.325791062,-3.162895531
2025-04-04 00:00:00,-2.208308267,-1.104154134
2025-04-05 00:00:00,1.91440575,0.957202875
2025-04-06 00:00:00,1.9181847,0.95909235
2025-04-07 00:00:00,1.939111835,0.969555917
2025-04-08 00:00:00,1.9150459,0.95752295
2025-04-09 00:00:00,-2.201209222,-1.100604611
2025-04-10 00:00:00,1.9155002,0.9577501
2025-04-11 00:00:00,-2.214373102,-1.107186551
2025-04-12 00:00:00,1.9175652,0.9587826
2025-04-13 00:00:00,1.9167392,0.9583696
2025-04-14 00:00:00,1.918258238,0.959129119
2025-04-15 00:00:00,1.9155828,0.9577914
2025-04-16 00:00:00,1.9163675,0.95818375
2025-04-17 00:00:00,1.9143438,0.9571719
2025-04-18 00:00:00,1.9155415,0.95777075
2025-04-19 00:00:00,-2.212174962,-1.106087481
2025-04-20 00:00:00,1.9145503,0.95727515
2025-04-21 00:00:00,-2.2506497,-1.12532485
2025-04-22 00:00:00,-2.2488325,-1.12441625
2025-04-23 00:00:00,-2.162521943,-1.081260971
2025-04-24 00:00:00,1.9154176,0.9577088
2025-04-25 00:00:00,1.549775065,0.774887532
2025-04-26 00:00:00,1.9162436,0.9581218
2025-04-27 00:00:00,-2.2463132,-1.1231566
2025-04-28 00:00:00,1.9176891,0.95884455
2025-04-29 00:00:00,1.9154589,0.95772945
2025-04-30 00:00:00,-2.2532516,-1.1266258
2025-05-01 00:00:00,1.91849445,0.959247225
2025-05-02 00:00:00,1.9134352,0.9567176
2025-05-03 00:00:00,1.9159958,0.9579979
2025-05-04 00:00:00,1.91415795,0.957078975
2025-05-05 00:00:00,-2.1283347,-1.06416735
2025-05-06 00:00:00,1.91754455,0.958772275
2025-05-07 00:00:00,-2.208637818,-1.104318909
2025-05-08 00:00:00,-2.25033995,-1.125169975
2025-05-09 00:00:00,-2.2526734,-1.1263367
2025-05-10 00:00:00,1.91597515,0.957987575
2025-05-11 00:00:00,-2.2449916,-1.1224958
2025-05-12 00:00:00,1.9121136,0.9560568
2025-05-13 00:00:00,1.916574,0.958287
2025-05-14 00:00:00,1.9166153,0.95830765
2025-05-15 00:00:00,-2.153432733,-1.076716367
2025-05-16 00:00:00,1.9164914,0.9582457
2025-05-17 00:00:00,-2.24563175,-1.122815875
2025-05-18 00:00:00,-2.227692375,-1.113846188
2025-05-19 00:00:00,-6.344939677,-3.172469838
2025-05-20 00:00:00,-2.142288766,-1.071144383
2025-05-21 00:00:00,-2.244496,-1.122248
2025-05-22 00:00:00,-2.2507323,-1.12536615
2025-05-23 00:00:00,1.91704895,0.958524475
2025-05-24 00:00:00,-2.212489326,-1.106244663
2025-05-25 00:00:00,-2.2496585,-1.12482925
2025-05-26 00:00:00,1.9159958,0.9579979
2025-05-27 00:00:00,-2.24637515,-1.123187575
2025-05-28 00:00:00,0.603378108,0.301689054
2025-05-29 00:00:00,1.933163242,0.966581621
2025-05-30 00:00:00,1.9155002,0.9577501
2025-05-31 00:00:00,-2.2459002,-1.1229501
2025-06-01 00:00:00,1.9146742,0.9573371
2025-06-02 00:00:00,1.91560345,0.957801725
2025-06-03 00:00:00,-2.2499476,-1.1249738
2025-06-04 00:00:00,1.9144677,0.95723385
2025-06-05 00:00:00,1.91457095,0.957285475
2025-06-06 00:00:00,-2.2437526,-1.1218763
2025-06-07 00:00:00,1.91605775,0.958028875
2025-06-08 00:00:00,1.91539695,0.957698475
2025-06-09 00:00:00,1.91238205,0.956191025
2025-06-10 00:00:00,-2.23772313,-1.118861565
2025-06-11 00:00:00,1.91750325,0.958751625
2025-06-12 00:00:00,1.9155415,0.95777075
2025-06-13 00:00:00,-2.2502367,-1.12511835
2025-06-14 00:00:00,1.9137656,0.9568828
2025-06-15 00:00:00,-2.2462306,-1.1231153
2025-06-16 00:00:00,-0.601531402,-0.300765701
2025-06-17 00:00:00,-2.2483782,-1.1241891
2025-06-18 00:00:00,1.9163675,0.95818375
2025-06-19 00:00:00,1.9164501,0.95822505
2025-06-20 00:00:00,-2.167271608,-1.083635804
2025-06-21 00:00:00,1.91894875,0.959474375
2025-06-22 00:00:00,-6.4194015,-3.20970075
2025-06-23 00:00:00,-2.16541063,-1.082705315
2025-06-24 00:00:00,-2.2466849,-1.12334245
2025-06-25 00:00:00,1.9201258,0.9600629
2025-06-26 00:00:00,1.91751564,0.95875782
2025-06-27 00:00:00,1.9169044,0.9584522
2025-06-28 00:00:00,0.519562361,0.25978118
2025-06-29 00:00:00,1.9163675,0.95818375
2025-06-30 00:00:00,1.934186538,0.967093269
2025-07-01 00:00:00,1.753851713,0.876925856
2025-07-02 00:00:00,-2.25149635,-1.125748175
2025-07-03 00:00:00,1.918226,0.959113
2025-07-04 00:00:00,1.91547955,0.957739775
2025-07-05 00:00:00,1.91502525,0.957512625
2025-07-06 00:00:00,1.9164088,0.9582044
2025-07-07 00:00:00,-2.235300402,-1.117650201
2025-07-08 00:00:00,1.91740826,0.95870413
2025-07-09 00:00:00,1.91680115,0.958400575
2025-07-10 00:00:00,-2.224126014,-1.112063007
2025-07-11 00:00:00,-2.25141375,-1.125706875
2025-07-12 00:00:00,1.91444705,0.957223525
2025-07-13 00:00:00,1.9168631,0.95843155
2025-07-14 00:00:00,-2.224315758,-1.112157879
2025-07-15 00:00:00,-2.2497411,-1.12487055
2025-07-16 00:00:00,1.9154176,0.9577088
2025-07-17 00:00:00,-2.199186879,-1.09959344
2025-07-18 00:00:00,1.9146742,0.9573371
