Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type
2026-03-14 23:21:27.412430+05:30 IST Asia/Kolkata,ETHUSD,1,sell,0E-18/1.000000000000000000,,,2072.7169,,0,,,market_order
2026-03-14 23:14:25.268330+05:30 IST Asia/Kolkata,ETHUSD,1,buy,1/0,2075.25,2178.95,,20.7525,0.01224398,0,0,market_order
2026-03-14 23:21:16.052397+05:30 IST Asia/Kolkata,BTCUSD,1,buy,0E-18/1.000000000000000000,,,70621.27073,,0,,,market_order
2026-03-14 23:12:44.543460+05:30 IST Asia/Kolkata,BTCUSD,1,sell,1/0,70607,67076.5,,70.607,0.04165813,0,0,market_order
2026-03-15 12:49:05.180280+05:30 IST Asia/Kolkata,P-BTC-69200-150326,30,buy,30/0,1,1,,0.03,0.001239,-0.03,0.96,limit_order
2026-03-15 12:49:05.274793+05:30 IST Asia/Kolkata,P-BTC-69200-150326,1,buy,0/1,,,126.46,0.001,0,,,market_order
2026-03-14 22:30:10.818989+05:30 IST Asia/Kolkata,P-BTC-69200-150326,30,sell,30/0,33,0.1,,0.03,0.040887,0.99,0,market_order
2026-03-15 08:19:56.919604+05:30 IST Asia/Kolkata,C-BTC-71800-150326,25,buy,0/25,,1,,0.025,0,,,limit_order
2026-03-15 08:19:57.087180+05:30 IST Asia/Kolkata,C-BTC-71800-150326,25,buy,25/0,172.1,1231.3,154.3,0.025,0.17769325,-4.3025,-3.3525,market_order
2026-03-14 22:30:08.448097+05:30 IST Asia/Kolkata,C-BTC-71800-150326,25,sell,25/0,38,0.1,,0.025,0.039235,0.95,0,market_order
2026-03-14 08:36:07.817335+05:30 IST Asia/Kolkata,P-BTC-68800-140326,37,buy,37/0,1,1,,0.037,0.0015281,-0.037,1.147,limit_order
2026-03-14 08:36:07.912986+05:30 IST Asia/Kolkata,P-BTC-68800-140326,37,buy,0/37,,,129.37,0.037,0,,,market_order
2026-03-14 00:30:12.400552+05:30 IST Asia/Kolkata,P-BTC-68800-140326,37,sell,37/0,32,0.1,,0.037,0.0488992,1.184,0,market_order
2026-03-14 06:14:40.378541+05:30 IST Asia/Kolkata,C-BTC-72800-140326,41,buy,41/0,1,1,,0.041,0.0016933,-0.041,1.189,limit_order
2026-03-14 06:14:40.476206+05:30 IST Asia/Kolkata,C-BTC-72800-140326,41,buy,0/41,,,116.55,0.041,0,,,market_order
2026-03-14 00:30:10.056620+05:30 IST Asia/Kolkata,C-BTC-72800-140326,41,sell,41/0,3.00E+01,0.1,,0.041,0.050799,1.23,0,market_order
2026-03-12 14:19:39.640634+05:30 IST Asia/Kolkata,P-BTC-67800-120326,29,buy,29/0,1,1,,0.029,0.0011977,-0.029,0.899,limit_order
2026-03-12 14:19:39.687206+05:30 IST Asia/Kolkata,P-BTC-67800-120326,29,buy,0/29,,,129.53,0.029,0,,,market_order
2026-03-12 00:30:08.169409+05:30 IST Asia/Kolkata,P-BTC-67800-120326,29,sell,29/0,32,0.1,,0.029,0.0383264,0.928,0,market_order
2026-03-12 08:24:28.790769+05:30 IST Asia/Kolkata,C-BTC-72800-120326,25,buy,25/0,1,1,,0.025,0.0010325,-0.025,0.925,limit_order
2026-03-12 08:24:28.838788+05:30 IST Asia/Kolkata,C-BTC-72800-120326,25,buy,0/25,,,151.16,0.025,0,,,market_order
2026-03-12 00:30:05.830744+05:30 IST Asia/Kolkata,C-BTC-72800-120326,25,sell,25/0,38,0.1,,0.025,0.039235,0.95,0,market_order
